Protein IDs	Majority protein IDs	Protein names	Gene names	Reporter intensity corrected 1 SB45-LI	Reporter intensity corrected 2 SB45-LI	Reporter intensity corrected 3 SB45-LI	Reporter intensity corrected 4 SB45-LI	Reporter intensity corrected 5 SB45-LI	Reporter intensity corrected 6 SB45-LI	Reporter intensity corrected 7 SB45-LI	Reporter intensity corrected 8 SB45-LI	Reporter intensity corrected 9 SB45-LI	Reporter intensity corrected 10 SB45-LI	Reporter intensity corrected 1 SB46-LI	Reporter intensity corrected 2 SB46-LI	Reporter intensity corrected 3 SB46-LI	Reporter intensity corrected 4 SB46-LI	Reporter intensity corrected 5 SB46-LI	Reporter intensity corrected 6 SB46-LI	Reporter intensity corrected 7 SB46-LI	Reporter intensity corrected 8 SB46-LI	Reporter intensity corrected 9 SB46-LI	Reporter intensity corrected 10 SB46-LI	Reporter intensity corrected 1 SB47-LI	Reporter intensity corrected 2 SB47-LI	Reporter intensity corrected 3 SB47-LI	Reporter intensity corrected 4 SB47-LI	Reporter intensity corrected 5 SB47-LI	Reporter intensity corrected 6 SB47-LI	Reporter intensity corrected 7 SB47-LI	Reporter intensity corrected 8 SB47-LI	Reporter intensity corrected 9 SB47-LI	Reporter intensity corrected 10 SB47-LI	Intensity SB45-LI	Intensity SB46-LI	Intensity SB47-LI
H3BNP3;H3BTL2;H3BS02;B4DGN9;A0A024QZA9;O14874	H3BNP3;H3BTL2;H3BS02;B4DGN9;A0A024QZA9;O14874	"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial"	BCKDK	0	0	0	0	0	0	0	0	0	0	10176	6123.4	7046.4	9170.4	8781.8	11525	12507	6793.8	11359	15082	3892.4	4483.3	0	2579.9	0	5180.8	8702.6	6022.4	0	4536.7	0	13729000	5551200
B7Z7N6;Q53R49;Q15118;B7Z207;C9JKT3;F8WC75;F8WEJ6;C9IYB4	B7Z7N6;Q53R49;Q15118;B7Z207	"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial"	PDK1	65269	51446	15256	28986	14681	14783	41912	45494	73622	72086	491050	287910	330480	349170	315560	223130	447730	399110	310410	423960	57579	24129	79838	28367	12095	33629	27858	73437	86295	46088	30502000	104890000	39720000
B3KPZ7;A0A024R9C0;B4DYX8;Q6P1N1;Q9P0J1	B3KPZ7;A0A024R9C0;B4DYX8;Q6P1N1;Q9P0J1	"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial"	PPM2C;PDP1	0	0	0	0	0	0	0	0	0	0	88210	91620	63799	69550	74547	57748	63128	84671	50619	105380	30232	24511	28258	30929	25691	24929	16968	29042	22177	38117	0	7873000	3295000
B4DRH1	B4DRH1	1-acyl-sn-glycerol-3-phosphate acyltransferase		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NRZ5;B4DMU6;B4DHC0	Q9NRZ5;B4DMU6;B4DHC0	1-acyl-sn-glycerol-3-phosphate acyltransferase delta	AGPAT4	9076.7	5800.2	2502.7	0	4729.5	5278.9	6287	2347.7	5441.3	2157.9	48598	30851	30450	16846	40896	25165	26605	31465	24690	28055	24921	23800	21271	23702	4927	13513	16651	17972	21447	14033	6252300	21092000	7825100
Q6NUM7;A0A024R640;Q9NUQ2;H0YC22	Q6NUM7;A0A024R640;Q9NUQ2	1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon	AGPAT5	98396	49906	24792	38521	72500	39279	98949	109860	125430	93033	292680	206630	254760	168910	263270	108630	173130	148410	36094	260550	66487	46508	37805	35041	21522	29094	41676	44136	33728	55389	56481000	110640000	48046000
Q9NRZ7;B4DUA6;C9JL26;C9J184	Q9NRZ7;B4DUA6	1-acyl-sn-glycerol-3-phosphate acyltransferase gamma	AGPAT3	141840	88796	70463	71403	82086	43357	95322	147700	110540	84082	180730	146780	117460	101290	136700	89457	128440	150570	90259	139350	93780	63331	69688	70293	65235	68571	54648	73398	66220	78628	40736000	74466000	40231000
Q71VH6;A0A024RCV5;Q99943;Q9HBM8;B3KPH3	Q71VH6;A0A024RCV5;Q99943;Q9HBM8;B3KPH3	1-acyl-sn-glycerol-3-phosphate acyltransferase;1-acyl-sn-glycerol-3-phosphate acyltransferase alpha	AGPAT1	47911	35696	34176	19259	19398	20749	52194	52965	44345	40253	43436	16213	29962	37555	32232	13884	21664	19359	26143	38418	120790	51102	59411	77489	91764	74020	74911	86838	91427	88030	16374000	25132000	50412000
V9HWG4;Q9Y2I7;E9PDH4;Q6ZS32;F8WEZ0;C9JL08	V9HWG4;Q9Y2I7	1-phosphatidylinositol 3-phosphate 5-kinase	HEL37;PIKFYVE	147180	147800	84427	106750	118630	71896	155110	181710	177440	138750	157260	122310	133630	126990	130530	71734	149380	150920	113760	132820	235500	175830	216490	261430	194640	180380	186340	257370	222070	240830	34706000	71491000	81294000
Q01970	Q01970	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3"	PLCB3	567480	424210	328850	424280	373520	315630	497710	575490	401400	461080	952080	686240	690910	783250	655290	520020	707680	770980	568210	797170	1056200	717620	770580	824730	786700	745670	608280	844060	799090	911010	303600000	667820000	548000000
