id,protein,gene_symbols
1,A0A023T6R1;Q96A72;F5H6N1;F5H6P7,FLJ10292;MAGOHB
2,Q9Y5S9;A0A023T787;A0A0J9YW13,RBM8A;RBM8
3,A0A024QYT5;P05121;B7ZAB0;B7Z4X6,SERPINE1
4,B4DVQ5;A1KYQ7;A0A024QYU9;Q99613;B5ME19;B4DRU0;B4DVU3;B4DDN4;B4E2Z6;A0A024QYX7;B3KNZ4,EIF3C;EIF3CL
5,A0A024QYX3;P98179,RBM3
6,B4DQ24;B4DIW7;B4E2A4;A0A024QYY9;Q5M775;B4DW07;J3KSG2,SPECC1
7,D6RB59;Q69YP2;A0A024QYZ6;O60645,EXOC3;DKFZp762K123
8,A0A024QZ03;O60826;B7ZAR0;B4DPB6;B4DLA4,CCDC22
9,B3KN29;A0A024QZ22;O60831;A6NM71,PRAF2
10,A0A087X1I3;D6RFM5;A0A024QZ30;B4DYN5;P31040;A0A494C1T6;Q0QF12,SDHA
11,A0A024QZ42;Q53FC3;O75340;H0Y9X3;A0A087WZ38,PDCD6
12,J3KMZ7;B4DQZ5;A0A024QZ48;Q9H0H0,INTS2
13,Q6FG43;J3QLD9;A0A024QZ62;E7EMK3;Q14254;Q9BTI6,FLOT2;hCG_1998851
14,A0A0D9SFK2;A0A024QZ63;Q92614;B4E0T8;B4DYM1;B4DZ32,MYO18A;hCG_27198
15,C9JY26;A0A024QZ68;Q9BZG1;C9JBG0;Q6NXT3;B4DNC0;Q96PJ7;E7ES60,RAB34
16,Q59H82;A0A024QZ73;A0A024QZ72;B4DU02;B4DEP3;Q13029,PRDM2
17,Q9UHV7;A0A024QZ75,MED13;THRAP1
18,A0A024QZ77;Q96C19;H0Y4Y4,EFHD2
19,Q53FE5;A0A024QZ81;Q9NVZ3;B4DUR7;F6SKB8;D6RB24,NECAP2
20,Q6PIW8;A0A0A0MS45;J3KNI1;A0A024QZ89;Q9H9E3;Q8N8L9;A2VCL3,COG4
