id,logFC,PValue,FDR,gene_symbols
16,0.1425,0.6018,0.6999,PRDM2
26,-0.0588,0.7937,0.8553,ZNF668
45,-0.1528,0.4647,0.5802,RREB1
127,-0.7962,0.004924,0.01746,NFIL3
134,-0.4208,0.05047,0.1058,ZNF532
163,-0.5548,0.03551,0.07989,TMF1
175,1.317,1.298e-9,3.624e-8,THYN1
204,0.5997,2.942e-5,2.787e-4,ENO1
246,-0.318,0.1702,0.2678,TCF12
249,-0.4654,0.05949,0.1195,SMAD3
301,-1.809,8.044e-13,4.788e-11,DNMT1
310,-0.4593,2.497e-6,3.269e-5,GATAD2A
322,1.076,9.896e-6,1.127e-4,ZNF22
346,0.2727,0.2246,0.3312,TTF1
440,0.5844,1.7e-5,1.77e-4,PA2G4
459,-0.4654,0.09636,0.1738,TBX3
476,-0.5,0.01485,0.04095,ZNF24
514,-0.5104,6.445e-5,5.481e-4,PRDM8
523,-0.9756,2.757e-5,2.643e-4,NFKB1
595,-0.3552,0.09664,0.1742,RELA
597,0.1647,0.4614,0.577,PHF19
614,0.2597,0.1943,0.2967,REPIN1
633,0.2367,0.1124,0.1964,SRCAP
690,-0.8093,7.735e-6,9.174e-5,RXRB
744,-0.7472,2.488e-4,0.001721,FOSL1
817,1.001,8.868e-8,1.636e-6,MECP2
831,-0.1537,0.3496,0.467,ZNF654
838,-0.2226,0.4827,0.598,NFKB2
858,-0.6429,9.533e-4,0.004906,STAT6
869,-1.137,0.01497,0.04113,TEAD3
880,0.5122,0.004005,0.0149,CTCF
889,0.05767,0.5992,0.6983,BPTF
982,-0.3111,0.4084,0.5246,KDM5B
1005,-0.3727,0.1724,0.2703,ZNF827
1054,-0.05039,0.7782,0.8431,CHCHD3
1081,-0.276,0.008439,0.02676,GABPA
1085,-0.4392,0.2146,0.3189,NCOA3
1094,-1.901,2.386e-5,2.353e-4,ZBTB20
1095,-0.438,0.01238,0.0353,L3MBTL3
1101,0.7071,5.162e-7,7.905e-6,SAFB
1146,-0.8625,8.222e-6,9.715e-5,TSHZ3
1150,0.8421,3.987e-5,3.646e-4,MBD1
1166,-0.1223,0.485,0.6001,ETS1
1183,-0.7767,0.007696,0.02493,ZHX3
1210,-0.4686,0.1532,0.2475,ARNT
1230,0.02755,0.8887,0.9256,GMEB1
1279,-0.5197,3.847e-6,4.894e-5,ZNF148
1291,-0.8295,4.48e-9,1.071e-7,ZEB1
1294,-0.5577,2.601e-5,2.533e-4,ADNP
1332,-0.6736,2.985e-4,0.001971,MBD3
1350,-0.6493,9.565e-4,0.004915,ZKSCAN1
1375,-0.7195,1.326e-6,1.867e-5,GATAD2B
1387,0.004224,0.9872,0.992,ZBTB4
1399,-0.7491,5.099e-5,4.508e-4,CDC5L
1456,-0.2204,0.1693,0.2667,HMG20A
1457,-0.4333,0.2177,0.3223,RBCK1
1469,-0.4558,0.2945,0.409,NR2F6
1471,0.07169,0.7177,0.799,ZNF384
1503,-0.8613,4.526e-8,8.924e-7,ZBTB38
1535,0.1057,0.6962,0.7805,TP53
1578,0.269,0.2066,0.3108,DRAP1
1581,-0.1684,0.4362,0.5522,LCORL
1586,-0.1878,0.1678,0.2653,FOXJ3
1592,-0.04829,0.8833,0.9234,BBX
1646,-1.304,1.332e-5,1.438e-4,ZFHX4
1649,-1.386,0.004842,0.0173,NCOA2
1655,0.1547,0.619,0.7161,GTF2IRD1
1657,-0.142,0.6826,0.7699,ZNF451
1659,-1.299,2.066e-9,5.386e-8,SP100
1675,-1.268,3.286e-7,5.157e-6,NR2F2
1694,1.559,0.002185,0.009304,ZNF268
1698,0.117,0.4487,0.5643,BAZ2A
1713,-0.4279,0.03166,0.07346,ZNF687
1719,0.2989,0.03384,0.0771,PRRX1
1725,1.459,4.202e-5,3.831e-4,SP110
1729,-1.23,4.661e-5,4.166e-4,ZNF217
1731,-0.968,0.003272,0.01268,ZGPAT
1734,0.4196,0.02469,0.06043,YBX1
1766,0.5625,9.135e-5,7.486e-4,KDM2A
